date,electricity,gas
20000101,4.711152593481521,9.103741462534185
20000102,5.193950456889789,8.94287180253031
20000103,5.548748856121826,8.829047768388062
20000104,5.090718347100727,9.073037223204345
20000105,4.81764019744783,8.864723535255413
20000106,4.70080084301077,9.025393425470321
20000107,5.111192392636214,8.921524813191576
20000108,4.973303746147512,8.91612599402603
20000109,4.935388075115742,9.167418675188488
20000110,4.855690846165186,8.869863622883653
20000111,5.11795489060989,9.179059038462851
20000112,5.036901642411939,9.206367188539561
20000113,5.239364598991365,8.788870755310496
20000114,4.579294318536875,9.098278716459012
20000115,5.231365277776141,8.927900586762732
20000116,4.9727158759712236,8.777328086384955
20000117,5.813168865656204,8.700220521651302
20000118,4.863359859721438,8.888434764482504
20000119,4.913149202218595,9.01135072198778
20000120,4.991654527055917,8.893370282096013
20000121,4.59654739423078,9.040289207865289
20000122,4.6222406024281035,9.341801952522134
20000123,5.546008026554849,8.974030601323788
20000124,4.726209693263679,8.650668205197219
20000125,5.358749689572634,9.073898856569585
20000126,5.263351331741063,8.764053255708594
20000127,4.805367492329472,9.001705251187241
20000128,4.771388255322671,9.119107098751373
20000129,5.131152521692171,9.184297602980104
20000130,5.031564124455016,8.856117365922284
20000131,4.920528055937582,8.765223195271835
20000201,4.711117725082086,7.410461578834598
20000202,4.708518250308599,7.473790772831676
20000203,4.531063042183694,7.66897751468217
20000204,4.672601049585703,7.235292808538405
20000205,4.772132802489486,7.576725482426473
20000206,4.503093816476946,7.69994354871984
20000207,4.396685882603979,7.25162656308925
20000208,4.609494807754929,7.427995107109367
20000209,4.493094033501346,7.486500570486312
20000210,5.115159587882422,7.646408209501638
20000211,4.825692410360559,7.196798172885928
20000212,4.429170113084027,7.622979071741682
20000213,4.924428648475576,7.64286377826203
20000214,4.546865027914947,7.216434314255265
20000215,4.392622263168612,7.757813428654209
20000216,4.42353828937578,7.680577740821598
20000217,5.148234525464722,7.532473843052426
20000218,4.5785547994208216,7.703916671935974
20000219,4.680492448424402,7.273111014278432
20000220,4.871657021041243,7.705296402955877
20000221,4.675475113327613,7.64805049131138
20000222,4.632770730645984,7.6742462293241065
20000223,4.645671085395945,7.228990011270972
20000224,4.404799570095528,7.570287596943163
20000225,4.263282534495241,7.453073475550716
20000226,5.039775383225036,7.23243424564845
20000227,4.748368530564748,7.430140120246672
20000228,5.016156774277154,7.365485128962457
20000229,4.337849930751516,7.161178923395723
20000301,4.369766323709799,6.07122493125912
20000302,4.4485299340882785,5.987582789593421
20000303,4.2734849379944935,5.748246830243979
20000304,4.4234266865570255,5.964098548335113
20000305,4.188012092045495,6.049015685705595
20000306,4.143349505388018,5.9236193017216765
20000307,4.681949002278649,5.871082463592345
20000308,5.039228673265516,6.075654715095056
20000309,4.258351646099445,5.938161360050849
20000310,3.6069033845405185,6.134260892479072
20000311,4.512131314187217,6.003166336529946
20000312,4.340782627048052,6.082040162924713
20000313,4.861134769200986,6.013248588850993
20000314,4.127293077385966,6.043914518666695
20000315,3.9798412233551694,6.086242230273177
20000316,4.236667438985072,6.01718447690335
20000317,3.8018922632528107,6.097927014540349
20000318,4.096538920111031,6.095512383529245
20000319,4.293974152002329,5.7741984712636745
20000320,3.9665866741545925,5.954948325611113
20000321,4.5291299202941655,5.904449001480352
20000322,4.40870551280447,6.255979152383466
20000323,4.498517940220297,6.052651439193449
20000324,4.272007128230753,6.096889503518674
20000325,3.8970545793645264,6.044184228081571
20000326,4.639945482800964,5.96704789159335
20000327,4.376007475055822,6.02760336149033
20000328,4.197763261327062,6.072931147719335
20000329,4.503555717763414,5.944265738312848
20000330,4.672831506572104,5.928285087952375
20000331,4.136907523917134,5.935634748662662
20000401,4.032117758033145,4.752917878731134
20000402,4.098984906630167,4.755872913737537
20000403,4.0333027945366045,4.381636946077524
20000404,3.7761253066169433,4.6158944140671165
20000405,3.530709455068583,4.679369853926482
20000406,4.132208704387186,4.648651513723085
20000407,3.759474387921617,4.502192208613971
20000408,4.272478441118593,4.615943477259751
20000409,3.7026339058790123,4.57234060765403
20000410,3.9414240230666184,4.6863773080286135
20000411,3.997878962245744,4.552346320623077
20000412,4.0653185663321105,4.521549611930041
20000413,3.558915862805777,4.546769963702216
20000414,3.727743718157726,4.591002487399493
20000415,3.964751883783605,4.624162044677804
20000416,3.5861595253689194,4.602152351582404
20000417,3.80158831844008,4.575492977004607
20000418,3.8365999488286593,4.515112134865389
20000419,3.8296767402553664,4.672718981064533
20000420,4.107668604186413,4.675807758985994
20000421,4.213483278729661,4.5722145421940095
20000422,4.326163009333243,4.475106583770853
20000423,4.1911622889775515,4.549073929839752
20000424,4.018304242888393,4.561532168002575
20000425,4.002161634614476,4.591444618016653
20000426,3.9027495221514052,4.507563306854994
20000427,4.053503325692195,4.535253461932565
20000428,4.045947122649899,4.500261657634452
20000429,3.785607211179523,4.48393319175386
20000430,3.8843779612954896,4.504052673889565
20000501,3.622177623688183,3.0080189934728128
20000502,3.478849658333638,3.0366276873126274
20000503,3.4993416806312023,3.05381422675956
20000504,3.6803770012327535,3.002809159040415
20000505,3.9710512724349343,3.017601396845783
20000506,3.8771714405656805,3.06088583724722
20000507,3.433180109110786,3.1000846313065944
20000508,3.7703919049343684,3.153636594961385
20000509,3.379761580550267,3.1223460478139216
20000510,3.7430300717782323,3.0644483526112043
20000511,3.775760592211422,3.155395737278955
20000512,3.4806343448902437,3.0934020675142406
20000513,3.32003134817319,3.18424203801605
20000514,3.841061243868405,3.0824457336514732
20000515,3.744537934597046,3.1581651322772664
20000516,3.299340731991287,3.172891445225096
20000517,3.4959771445136325,3.1182757621647266
20000518,3.8652293885550537,3.03236761681503
20000519,3.551016526479755,3.1881812393020894
20000520,3.5770499361494097,3.0465097451548204
20000521,3.3569585336588874,3.074081760295791
20000522,3.656410613351951,3.1048139335546323
20000523,3.6702683399668588,3.057906421587273
20000524,3.1656771891809945,3.0955335884287063
20000525,3.6645230263918376,3.059083438033564
20000526,3.706021036211559,3.2233485386273517
20000527,3.860410857168196,3.1027940843711637
20000528,3.924642871968642,2.9951693968942945
20000529,3.942426078583515,3.1183642475555104
20000530,4.033694650280984,3.1396876619845946
20000531,3.697153437660469,3.1211151041844762
20000601,3.068524465711639,1.6061093314394284
20000602,3.3224353771347657,1.6306936116198623
20000603,3.0894044881724807,1.624951496115525
20000604,3.4286581224050736,1.6335202341022903
20000605,3.2938513119844615,1.6210058338867386
20000606,3.1795428855227104,1.5933161643870384
20000607,3.5232094000835588,1.6387397476996954
20000608,3.051968656525565,1.6758878980442131
20000609,3.127312891667546,1.6092403971985978
20000610,3.6870838367884615,1.5840259623862099
20000611,3.275579699164011,1.6297586492952674
20000612,2.972449241719803,1.5488277200288814
20000613,3.384058540655844,1.6409486575038106
20000614,3.649691078092917,1.6505507599040292
20000615,3.2394763010952508,1.6134310187749705
20000616,3.217918012531328,1.634688446233058
20000617,3.2376901543467973,1.6263611285474249
20000618,3.2359434602479906,1.6266908750246527
20000619,3.0517365720316865,1.6599068868859006
20000620,3.204869160964303,1.6504111873453993
20000621,3.4216969621839852,1.6522533081764115
20000622,3.03944999250068,1.6253662614652233
20000623,3.4086177336727363,1.6481166227683086
20000624,3.1568749056111645,1.6425721540541167
20000625,3.487923639381592,1.6299913311444854
20000626,3.0912401520969994,1.6166045937387172
20000627,3.3721210728285143,1.6127501761330543
20000628,3.5590078451461964,1.6077215767430568
20000629,3.516583311914875,1.5593305594280624
20000630,3.484837639044514,1.6011386993634102
20000701,3.145591218840398,1.6007376414961816
20000702,3.3327021773672447,1.5844001096555833
20000703,2.9722113475221836,1.6160183434511062
20000704,3.048668803196306,1.5993884189281513
20000705,3.192392269419998,1.6185821083053205
20000706,3.4149701917288877,1.5859619679763304
20000707,3.3246633522096127,1.601050201602032
20000708,3.32079300037275,1.6419627015844243
20000709,3.1822934441643773,1.6091661485879138
