date,a,b,c,d,e,f,g,h
20150101,9.7976428677494,18.46862169528843,4.31861934024442,14.900892322502713,4.06058420965112,9.126857246604292,0.33796999284801127,10.27107234547639
20150102,9.3332791354618,19.65525656814315,16.628654587780684,15.46921554144278,3.070899594150931,4.123428898221278,0.5485974881006659,9.948131123235935
20150103,10.126519879341348,17.702328949963068,5.222807013126173,14.654575928046814,15.119658182382697,0.03238848770750221,0.33432362531614124,12.212354467920576
20150104,9.26406496004278,17.695895315901247,3.121461368195277,12.22442687141558,4.727402711365141,0.7400666628178709,0.16436019355223727,10.379820240126907
20150105,9.712070896446985,18.01178534667899,12.467386918371513,12.853493185641975,15.762995568454452,6.6017000349417065,0.4103350913447592,11.839012117623803
20150106,10.165705053465096,17.868366434572696,4.9098840596239,16.02934963262316,15.27606854224475,0.13571869149911225,0.21278988835677584,8.534635113937883
20150107,9.485856169891738,17.2299475059865,9.795324406682555,13.76640678844385,18.00172283908718,2.4599352134204673,0.23469663318889034,11.351417640315498
20150108,9.812102592550746,18.17579995276748,1.0814675307925903,15.786951708534783,2.275948603873765,1.338515061881699,0.03085480587469397,13.671173074949674
20150109,9.200173646259591,18.51966315141221,14.93561732054267,15.351156738463413,15.512114617813388,3.7612852708530427,0.3548875885304253,9.404325118873945
20150110,9.71218083891611,18.848970119392423,11.593750420552885,14.734726758980653,2.636371655108087,0.03446247279609483,5.8307267913438485,8.93467620344953
20150111,10.11403486504777,19.290812027199678,11.795729957317812,12.598926922060238,2.771659200006196,5.799985967932406,0.17989349219438447,9.601537015108716
20150112,7.936475852592566,19.654965070899475,18.136766174249953,13.400894280611539,16.64320358186793,1.3340247680097934,0.7175998858261989,9.08277124073254
20150113,9.08216784024736,19.481763642663516,8.348339592466045,12.13570334588421,14.44653740112519,6.187295899948857,0.24752659428379764,7.528715700431402
20150114,8.884404572786195,17.61837520820914,4.936374212824108,12.046972615491708,9.729121836952864,0.33089102005145865,0.006619269873462798,8.562210400597294
20150115,8.733387548621012,19.148397568837193,7.664844702037107,15.346642828383517,12.757945042273361,3.2876185622620993,0.3537818069194476,9.903332186076101
